Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
IDCJAC0001,066006,1925,12,30.8,Y
IDCJAC0001,066006,1926,01,89.0,Y
IDCJAC0001,066006,1926,02,26.2,Y
IDCJAC0001,066006,1926,03,317.6,Y
IDCJAC0001,066006,1926,04,92.3,Y
IDCJAC0001,066006,1926,05,69.4,Y
IDCJAC0001,066006,1926,06,33.2,Y
IDCJAC0001,066006,1926,07,58.4,Y
IDCJAC0001,066006,1926,08,26.7,Y
IDCJAC0001,066006,1926,09,43.3,Y
IDCJAC0001,066006,1926,10,7.6,Y
IDCJAC0001,066006,1926,11,0.5,Y
IDCJAC0001,066006,1926,12,172.2,Y
IDCJAC0001,066006,1927,01,104.2,Y
IDCJAC0001,066006,1927,02,16.5,Y
IDCJAC0001,066006,1927,03,105.0,Y
IDCJAC0001,066006,1927,04,455.2,Y
IDCJAC0001,066006,1927,05,54.5,Y
IDCJAC0001,066006,1927,06,112.6,Y
IDCJAC0001,066006,1927,07,8.4,Y
IDCJAC0001,066006,1927,08,7.8,Y
IDCJAC0001,066006,1927,09,75.7,Y
IDCJAC0001,066006,1927,10,91.0,Y
IDCJAC0001,066006,1927,11,151.7,Y
IDCJAC0001,066006,1927,12,54.5,Y
IDCJAC0001,066006,1928,01,62.4,Y
IDCJAC0001,066006,1928,02,173.4,Y
IDCJAC0001,066006,1928,03,128.6,Y
IDCJAC0001,066006,1928,04,118.2,Y
IDCJAC0001,066006,1928,05,82.1,Y
IDCJAC0001,066006,1928,06,175.3,Y
IDCJAC0001,066006,1928,07,172.5,Y
IDCJAC0001,066006,1928,08,34.8,Y
IDCJAC0001,066006,1928,09,4.6,Y
IDCJAC0001,066006,1928,10,42.9,Y
IDCJAC0001,066006,1928,11,6.8,Y
IDCJAC0001,066006,1928,12,51.1,Y
IDCJAC0001,066006,1929,01,8.4,Y
IDCJAC0001,066006,1929,02,295.7,Y
IDCJAC0001,066006,1929,03,133.7,Y
IDCJAC0001,066006,1929,04,172.0,Y
IDCJAC0001,066006,1929,05,253.0,Y
IDCJAC0001,066006,1929,06,75.0,Y
IDCJAC0001,066006,1929,07,79.0,Y
IDCJAC0001,066006,1929,08,103.5,Y
IDCJAC0001,066006,1929,09,41.4,Y
IDCJAC0001,066006,1929,10,211.1,Y
IDCJAC0001,066006,1929,11,95.2,Y
IDCJAC0001,066006,1929,12,48.8,Y
IDCJAC0001,066006,1930,01,114.6,Y
IDCJAC0001,066006,1930,02,15.9,Y
IDCJAC0001,066006,1930,03,109.5,Y
IDCJAC0001,066006,1930,04,164.6,Y
IDCJAC0001,066006,1930,05,121.8,Y
IDCJAC0001,066006,1930,06,326.3,Y
IDCJAC0001,066006,1930,07,108.2,Y
IDCJAC0001,066006,1930,08,31.1,Y
IDCJAC0001,066006,1930,09,5.4,Y
IDCJAC0001,066006,1930,10,49.1,Y
IDCJAC0001,066006,1930,11,22.5,Y
IDCJAC0001,066006,1930,12,133.4,Y
IDCJAC0001,066006,1931,01,55.9,Y
IDCJAC0001,066006,1931,02,39.4,Y
IDCJAC0001,066006,1931,03,182.2,Y
IDCJAC0001,066006,1931,04,189.8,Y
IDCJAC0001,066006,1931,05,91.4,Y
IDCJAC0001,066006,1931,06,32.2,Y
IDCJAC0001,066006,1931,07,315.8,Y
IDCJAC0001,066006,1931,08,4.8,Y
IDCJAC0001,066006,1931,09,145.8,Y
IDCJAC0001,066006,1931,10,24.7,Y
IDCJAC0001,066006,1931,11,81.8,Y
IDCJAC0001,066006,1931,12,93.4,Y
IDCJAC0001,066006,1932,01,5.1,Y
IDCJAC0001,066006,1932,02,119.3,Y
IDCJAC0001,066006,1932,03,78.4,Y
IDCJAC0001,066006,1932,04,97.1,Y
IDCJAC0001,066006,1932,05,54.5,Y
IDCJAC0001,066006,1932,06,30.1,Y
IDCJAC0001,066006,1932,07,80.2,Y
IDCJAC0001,066006,1932,08,55.4,Y
IDCJAC0001,066006,1932,09,228.7,Y
IDCJAC0001,066006,1932,10,23.5,Y
