"Product.code","Station.number","Year","Month","Rainfall","Quality"
"IDCJAC0001",66006,1995,8,0,"Y"
"IDCJAC0001",66006,1995,9,223.3,"Y"
"IDCJAC0001",66006,1995,10,35.5,"Y"
"IDCJAC0001",66006,1995,11,170.9,"Y"
"IDCJAC0001",66006,1995,12,81.2,"Y"
"IDCJAC0001",66006,1996,1,132.5,"Y"
"IDCJAC0001",66006,1996,2,39.6,"Y"
"IDCJAC0001",66006,1996,3,59.1,"Y"
"IDCJAC0001",66006,1996,4,42.6,"Y"
"IDCJAC0001",66006,1996,5,169.7,"Y"
"IDCJAC0001",66006,1996,6,176.2,"Y"
"IDCJAC0001",66006,1996,7,52.2,"Y"
"IDCJAC0001",66006,1996,8,130.6,"Y"
"IDCJAC0001",66006,1996,9,142.9,"Y"
"IDCJAC0001",66006,1996,10,17.3,"Y"
"IDCJAC0001",66006,1996,11,114.8,"Y"
"IDCJAC0001",66006,1996,12,37.8,"Y"
"IDCJAC0001",66006,1997,1,178,"Y"
"IDCJAC0001",66006,1997,2,124.6,"Y"
"IDCJAC0001",66006,1997,3,27.4,"Y"
"IDCJAC0001",66006,1997,4,6.6,"Y"
"IDCJAC0001",66006,1997,5,200.4,"Y"
"IDCJAC0001",66006,1997,6,110,"Y"
"IDCJAC0001",66006,1997,7,190.6,"Y"
"IDCJAC0001",66006,1997,8,38.4,"Y"
"IDCJAC0001",66006,1997,9,137.2,"Y"
"IDCJAC0001",66006,1997,10,54.8,"Y"
"IDCJAC0001",66006,1997,11,25.8,"Y"
"IDCJAC0001",66006,1997,12,30,"Y"
"IDCJAC0001",66006,1998,1,90.8,"Y"
"IDCJAC0001",66006,1998,2,33.9,"Y"
"IDCJAC0001",66006,1998,3,19.5,"Y"
"IDCJAC0001",66006,1998,4,344.1,"Y"
"IDCJAC0001",66006,1998,5,333.3,"Y"
"IDCJAC0001",66006,1998,6,148.6,"Y"
"IDCJAC0001",66006,1998,7,89.8,"Y"
"IDCJAC0001",66006,1998,8,532.3,"Y"
"IDCJAC0001",66006,1998,9,43.6,"Y"
"IDCJAC0001",66006,1998,10,37.9,"Y"
"IDCJAC0001",66006,1998,11,73.4,"Y"
"IDCJAC0001",66006,1998,12,59.3,"Y"
